Country,Demonym,Sentiment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Happy,Angry,Surprise,Sad,Fear,F_Score,,,,,,,,,,
Afghanistan,Afghan,-0.338794,0.023415098,1.19E-05,0.000173931,0.002385625,0.005187933,0.006741635,0.000779747,0.1077,0.0445,0.1438,0.314,0.3892,0.978353397,,,,,,,,,,
Albania,Albanian,0.062119,0.009984673,1.93E-05,0.000753443,0.003946033,0.002370486,0.000228636,0.000119783,0.1245,0.0596,0.1258,0.2497,0.4293,0.971104798,,,,,,,,,,
Algeria,Algerian,-0.253977,0.021192892,2.94E-05,0.000277748,0.005296868,0.005185447,0.001146066,0.000142257,0.1235,0.0538,0.1389,0.2671,0.4164,0.978421538,,,,,,,,,,
Andorra,Andorran,0.326406,0.018878616,1.59E-05,0.006867112,0.001651303,0.006771453,0.000756141,0.000292064,0.1173,0.0575,0.2161,0.2224,0.3873,0.989027793,,,,,,,,,,
Angola,Angolan,0.029933,0.029401769,3.69E-05,0.000292436,0.005128259,0.019523749,0.000252719,0.000161735,0.1218,0.0724,0.1392,0.2545,0.3909,0.982012881,,,,,,,,,,
Antigua and Barbuda,Antiguan and Barbudans,0.194064,0.006480529,2.05E-05,0.000178068,0.002306367,0.001457741,0.000173043,0.000522819,0.1457,0.0485,0.1435,0.2303,0.4223,0.989083728,,,,,,,,,,
Argentina,Argentine or Argentinean,0.398423,0.011634993,4.69E-06,0.003646991,0.000281434,0.00543253,0.000682848,0.000262787,0.1237,0.0574,0.1381,0.2301,0.4403,0.982269193,,,,,,,,,,
Armenia,Armenian,0.130242,0.016389344,0.00010714,0.000345225,0.005124911,0.005208849,0.000502083,0.000301511,0.1314,0.0603,0.1355,0.2553,0.4173,0.982398019,,,,,,,,,,
Australia,Australian or Aussie,0.412736,0.026814118,1.12E-05,0.000197719,0.001951512,0.021703219,7.75E-05,0.000171577,0.1323,0.0493,0.1081,0.2775,0.4319,0.961539662,,,,,,,,,,
Austria,Austrian,0.418968,0.018568875,2.28E-05,0.002141023,0.001488323,0.010670611,0.000131002,0.000111362,0.147,0.0515,0.106,0.2479,0.4465,0.976545144,,,,,,,,,,
Azerbaijan,Azerbaijani,0.125916,0.00385476,7.37E-06,9.34E-05,0.001076684,0.000795645,0.000127683,6.53E-05,0.1149,0.0436,0.1139,0.2803,0.4476,0.973172058,,,,,,,,,,
Bahrain,Bahraini,-0.045988,0.008193872,7.24E-06,0.000103739,0.002057342,0.001589569,0.000340662,5.91E-05,0.121,0.0465,0.1134,0.2697,0.4498,0.951040905,,,,,,,,,,
Bangladesh,Bangladeshi,-0.201553,0.022310503,2.66E-05,0.001147714,0.006791872,0.006918775,0.000334373,0.000221432,0.1196,0.043,0.1306,0.2292,0.4675,0.970572951,,,,,,,,,,
Barbados,Barbadian or Bajuns,0.34574,0.034946006,4.88E-05,0.003942293,0.010080459,0.017065657,0.000251174,0.003436876,0.1725,0.0534,0.1521,0.2365,0.3756,0.996461884,,,,,,,,,,
Belarus,Belarusian,0.20032,0.007684481,2.47E-06,9.61E-05,0.000211188,0.005138297,7.06E-05,4.58E-05,0.1117,0.0591,0.1285,0.26,0.4302,0.971211889,,,,,,,,,,
Belgium,Belgian,0.195705,0.007127779,2.13E-05,0.000112156,0.002114619,0.002018894,0.000187847,5.25E-05,0.143,0.0406,0.1161,0.2609,0.4397,0.977010643,,,,,,,,,,
Belize,Belizean,0.438218,0.015501384,1.84E-05,0.000663848,0.002900217,0.006631261,0.000252518,0.000155253,0.1454,0.0517,0.159,0.2284,0.4061,0.987809843,,,,,,,,,,
Benin,Beninese,0.537018,0.024984468,9.82E-06,0.000106239,0.005346491,0.017494123,0.000363364,7.58E-05,0.1505,0.0504,0.129,0.2456,0.4245,0.973986793,,,,,,,,,,
Bhutan,Bhutanese,0.171529,0.014133109,7.37E-06,0.000139352,0.001284256,0.004095278,0.004016152,0.001217055,0.1294,0.0406,0.1242,0.2507,0.4452,0.980382246,,,,,,,,,,
Bolivia,Bolivian,0.183617,0.009112797,3.24E-06,0.00366922,0.000488522,0.002973462,0.000508597,6.09E-05,0.1546,0.0567,0.1311,0.2517,0.4058,0.986834251,,,,,,,,,,
Bosnia and Herzegovina,Bosnian and Herzegovinian,0.005441,0.012570169,7.19E-05,0.004793283,0.004023942,0.001944482,0.000244089,0.000250978,0.1068,0.0497,0.1495,0.2439,0.4508,0.971965314,,,,,,,,,,
Botswana,Motswana (singular) and Batswana (plural),0.36144,0.012854912,2.02E-05,0.00023074,0.006019795,0.003129277,0.000119973,0.000154151,0.0893,0.0472,0.2666,0.1723,0.4143,0.985608234,,,,,,,,,,
Brazil,Brazilian,0.324711,0.015174303,7.02E-06,9.66E-05,0.002096479,0.008769346,0.001109875,0.000381914,0.1374,0.0588,0.1284,0.2588,0.4066,0.972076384,,,,,,,,,,
Brunei,Bruneian,0.35077,0.006956016,2.77E-05,0.000244239,0.002362237,0.002001913,0.000119131,0.000196524,0.1274,0.0369,0.1347,0.2527,0.4386,0.967864751,,,,,,,,,,
Bulgaria,Bulgarian,0.280293,0.00473634,2.75E-06,7.74E-05,0.000198823,0.002471416,8.40E-05,5.74E-05,0.1464,0.0506,0.1154,0.2503,0.4388,0.977258189,,,,,,,,,,
Burkina Faso,Burkinabe,0.225305,0.025998119,4.61E-05,0.000257037,0.003687641,0.0155068,0.000420354,0.000134537,0.1312,0.0479,0.175,0.2354,0.4106,0.982440878,,,,,,,,,,
Burundi,Burundian,0.241397,0.026432422,3.03E-05,0.001947167,0.003150858,0.012484053,0.003891423,0.00085388,0.1469,0.0568,0.1488,0.2422,0.406,0.981000352,,,,,,,,,,
Cambodia,Cambodian,0.248299,0.009241002,4.61E-06,0.00011499,0.001141353,0.004053889,0.000489014,0.000198447,0.1352,0.0585,0.1308,0.2742,0.4009,0.974300953,,,,,,,,,,
Cameroon,Cameroonian,-0.052872,0.012398633,3.10E-05,0.001943301,0.003719988,0.001958108,0.000586721,0.001262706,0.1318,0.0586,0.1307,0.2533,0.4157,0.989914117,,,,,,,,,,
Canada,Canadian,0.24351,0.013189307,2.02E-05,0.000149939,0.003744758,0.00558249,0.000119306,0.000286202,0.1262,0.0492,0.1044,0.2391,0.4808,0.977415638,,,,,,,,,,
Cape Verde,Cape Verdian or Cape Verdean,0.314922,0.010149533,1.42E-05,0.000150674,0.004824368,0.001544322,0.000418224,0.000699193,0.133,0.051,0.17,0.214,0.4325,0.986074208,,,,,,,,,,
Central African Republic,Central African,-0.006129,0.008718422,1.02E-05,0.000136186,0.002658247,0.001696153,0.000124819,0.000108546,0.0716,0.0457,0.204,0.2254,0.4526,0.972239116,,,,,,,,,,
Chad,Chadian,0.411334,0.015102292,6.26E-05,0.000265707,0.006084751,0.003586938,0.000254154,0.000297996,0.1457,0.0512,0.1792,0.2169,0.3967,0.991505054,,,,,,,,,,
Chile,Chilean,0.065518,0.019529586,6.20E-06,0.00063529,0.000649497,0.011807815,0.000240213,0.000920755,0.1362,0.0565,0.1198,0.2304,0.448,0.98023463,,,,,,,,,,
China,Chinese,0.495443,0.038018858,4.37E-06,0.000114539,0.013353184,0.025738692,0.000114228,0.000167549,0.1302,0.0578,0.1217,0.2656,0.4246,0.972789144,,,,,,,,,,
Colombia,Colombian,-0.038418,0.017631149,2.77E-05,0.000141253,0.001328919,0.011400215,0.000526795,0.000336474,0.0987,0.0578,0.1282,0.281,0.4338,0.978392878,,,,,,,,,,
Comoros,Comoran,0.444103,0.024187038,4.66E-05,0.001023776,0.002305295,0.012069557,0.000465106,0.002856015,0.1287,0.0523,0.2255,0.2252,0.3687,0.992721956,,,,,,,,,,
Costa Rica,Costa Rican,0.111101,0.004981459,4.34E-06,0.000412126,0.000873751,0.001170234,0.00011938,0.000169414,0.1325,0.0478,0.1376,0.2171,0.4545,0.985425732,,,,,,,,,,
Cote d'Ivoire,Ivorian,0.517639,0.012239661,4.90E-05,0.006446792,0.002979314,0.003107332,0.000165312,0.000197672,0.1642,0.0507,0.1227,0.2358,0.4265,0.982717357,,,,,,,,,,
Croatia,Croat or Croatian,0.057831,0.012025135,7.03E-05,0.000247495,0.002007312,0.004886196,0.000714439,0.000123894,0.1199,0.0438,0.1622,0.2628,0.4106,0.984316185,,,,,,,,,,
Cuba,Cuban,0.27373,0.013929144,4.55E-06,0.003754632,0.000748504,0.005567152,0.000176352,0.000318628,0.1328,0.0527,0.127,0.263,0.4234,0.986383369,,,,,,,,,,
Cyprus,Cypriot,0.394803,0.009753235,6.00E-05,0.000239334,0.002025305,0.00405367,0.000262967,0.000318617,0.1555,0.0538,0.1736,0.2284,0.3895,0.980053869,,,,,,,,,,
Czech Republic,Czech,0.281869,0.030120301,5.58E-06,0.000818034,0.0017906,0.021567574,0.000151233,0.000105931,0.1561,0.0521,0.1147,0.2388,0.4386,0.985654919,,,,,,,,,,
Democratic Republic of the Congo,Congolese (Demoncratic),-0.218605,0.009649608,7.45E-06,0.000156222,0.001990872,0.002733785,0.000162554,0.000293565,0.0886,0.0594,0.1387,0.2512,0.4519,0.989112616,,,,,,,,,,
Denmark,Dane or Danish,0.570102,0.014800519,6.42E-05,0.000539866,0.003579292,0.00623524,0.000308088,0.000248629,0.152,0.0727,0.1615,0.2271,0.377,0.995404529,,,,,,,,,,
Djibouti,Djibouti,0.365305,0.011039797,4.93E-05,0.000268128,0.003923984,0.001588641,0.000573442,0.000366451,0.1473,0.0601,0.1514,0.2128,0.4179,0.992478928,,,,,,,,,,
